但	633	289
但是	592	106
因为	479	257
而	469	1295
如果	352	203
不过	339	123
也	326	2497
所以	263	63
并	255	765
而且	205	66
并且	204	81
因此	204	58
和	193	4202
然而	170	19
还	162	1463
由于	145	77
为了	135	157
之后	134	231
以及	131	289
其中	129	147
却	129	310
同时	128	155
甚至	127	94
后	113	1881
以	105	3694
另外	105	99
然后	102	98
比如	89	23
这	81	5685
此外	76	10
如	71	1042
更	70	959
又	68	560
使	61	762
除了	60	53
为	57	4170
于是	55	30
还有	55	37
例如	53	10
及	50	890
可是	49	31
尤其	47	36
即使	45	20
那么	44	350
包括	43	230
若	40	82
尽管	39	21
才	35	692
因	34	755
像	33	452
或者	33	168
导致	32	76
以后	32	134
后来	31	72
造成	31	198
特别是	30	48
与此同时	30	9
是	28	9713
不管	27	36
之前	26	142
原因	26	135
只要	26	64
或	26	700
可	26	2488
虽然	25	65
表示	25	698
比	25	911
就是	25	112
为此	24	7
让	24	860
等	24	1311
都	23	2096
则	23	461
－－	22	356
使得	22	47
无论	22	34
这是	22	0
——	21	153
因而	20	11
为例	20	3
反而	19	27
随后	19	12
希望	18	381
与	18	1910
而不是	18	0
最后	17	225
也是	17	4
即	17	245
如今	16	56
实际上	16	85
将	16	1788
来	16	4097
指出	16	335
以便	16	3
比如说	15	8
以来	15	174
说	15	2996
且	15	177
总之	15	4
目的	15	55
而是	15	4
也就是	15	11
前	15	2090
或是	14	45
时	14	3158
从而	14	15
否则	14	27
一旦	13	41
譬如	13	4
尤其是	13	13
现在	12	486
就	12	2894
例子	12	20
再	12	702
接下来	12	28
还是	12	206
换句话说	11	5
去年	11	288
是因为	10	0
只是	10	94
除非	10	8
结果	9	253
那	9	1888
要求	9	280
更是	9	0
竟然	9	39
接着	9	18
那就是	9	2
至于	9	101
当然	9	157
以前	9	96
仍然	8	123
就是说	8	39
不仅	8	39
加上	8	102
其实	8	149
详细内容	7	0
事实上	7	21
引起	7	101
当时	7	200
以免	7	3
原因是	7	0
必须	7	248
为由	7	2
理由	7	56
随着	7	101
除	7	292
另	7	276
今天	7	425
也就是说	7	8
假如	7	3
据了解	6	0
随即	6	18
当	6	1725
这就是	6	0
既然	6	15
例子就是	6	0
之所以	6	9
再加上	6	1
企图	6	25
另一方面	6	5
难怪	6	3
目的是	6	0
即便	5	1
其次	5	18
的时候	5	1
都是	5	0
也有	5	0
此后	5	8
试图	5	51
理由是	5	0
在此之前	5	5
之外	5	77
不论	5	20
以致	5	3
之际	5	25
况且	5	3
过去	5	234
其后	5	5
举例	5	3
认为	5	623
目前	5	513
要是	5	15
报道说	5	0
要	4	3300
特别	4	197
根据	4	194
曾经	4	132
倘若	4	0
来说	4	110
亦	4	48
在	4	8954
毕竟	4	33
经过	4	151
相比	4	23
报道	4	449
———	4	8
外	4	2078
现	4	1971
总的来说	4	4
只有	4	58
更不用说	4	0
引发	4	50
同比	4	11
象	4	431
致使	4	4
除此之外	4	3
连	4	447
显示	4	104
目标是	4	0
哪怕	4	3
其中包括	4	0
不是	4	9
直到	4	7
宣布	4	130
这些	3	535
所幸	3	10
可以说	3	4
当年	3	55
反观	3	3
何况	3	4
事后	3	13
总而言之	3	0
至少	3	109
解释说	3	0
前夕	3	15
就说	3	13
有	3	7307
不然	3	10
看来	3	71
昨天	3	122
从此	3	23
前一天	3	0
或者是	3	18
就像	3	1
尔后	3	5
只不过	3	6
是为了	3	0
居然	3	25
此前	3	14
据报道	3	0
预计	3	85
过后	3	6
却是	3	0
稍后	3	7
此	3	783
当天	3	65
今年	3	313
可能	3	746
不但	3	20
相反	3	16
比起	3	19
主要	3	298
明天	3	36
再说	3	0
话虽如此	3	0
才能	3	5
目标	3	99
进而	3	8
当初	3	20
起因是	2	0
首先	2	109
由此	2	6
２０年前	2	0
曾	2	394
针对	2	119
综上简述	2	0
这个	2	1039
不同	2	255
还要	2	6
更何况	2	0
就这样	2	0
另外一方面	2	0
尽管如此	2	0
但却	2	0
只需	2	0
同样	2	108
就在这个时候	2	0
不仅如此	2	0
紧接着	2	1
最终	2	62
不久前	2	5
结束	2	158
所致	2	2
下午	2	84
日后	2	13
全是	2	0
更有	2	0
日前	2	65
看出	2	23
原来	2	55
再者	2	0
不	2	6973
必	2	487
四百年前	2	0
但是却	2	0
令	2	326
仅	2	221
意思是	2	0
总体而言	2	1
不光	2	1
解释	2	107
举了一个例子	2	0
故	2	267
诸如	2	18
原因就是	2	0
并称	2	3
时候	2	464
所	2	1464
继而	2	0
在于	2	44
表明	2	60
一方面	2	19
举凡	2	2
这样	2	536
证明	2	68
先	2	672
一八九六年	2	0
相对	2	50
以防	2	5
立刻	2	57
用以	2	3
就连	2	0
正如	2	6
例外是	2	0
第二	2	192
已经	2	772
另一个	2	0
那时	2	49
更别说	2	0
例外	2	6
则是	2	0
只	2	942
之一	2	179
同理	2	3
说明	2	84
的话	2	120
防止	2	32
据说	2	29
所谓	2	80
因着	2	3
更重要的是	2	0
鉴于	2	7
虽	2	90
１４０天前	2	0
促进	2	61
亦即	2	0
同一天	2	1
应该	2	443
而后	2	0
不久后	2	1
更糟的是	2	0
二来	2	0
通过	2	307
为的就是	1	0
几个月后	1	0
就如同	1	0
稍早前	1	0
理由如下	1	0
前不久	1	3
较早	1	1
争取	1	50
六个月后	1	0
其中融合了	1	0
谈起	1	9
另外呢	1	0
推断	1	1
免得	1	1
伊拉克	1	282
在这同时	1	0
几天后	1	0
开始	1	435
更甚者	1	0
遂	1	5
而非	1	2
晚上	1	101
到是	1	0
两年后	1	0
甚至曲	1	0
１２年前	1	0
贡献	1	65
－－－	1	27
是基于	1	0
５年前	1	0
制订共同战略	1	0
归因	1	3
意思就是说	1	0
着眼点	1	1
当企	1	0
从内政上来看	1	0
一般来说	1	3
二零一二年	1	0
到昨天为止	1	0
再以前	1	0
乃至	1	9
何妨	1	3
从总体而言	1	0
分别	1	102
原因也在于	1	0
导至	1	0
保证说	1	0
表示说	1	0
虽然当	1	0
自	1	2125
上午	1	126
以购屋置产言	1	0
－	1	1081
皆是	1	3
稍早	1	5
结果指出	1	0
值得一提的是	1	0
1	1	2160
3	1	825
九八年	1	18
也才	1	0
是一例	1	0
再一个	1	0
等于	1	24
共同作用	1	0
再过几个月	1	0
相形之下	1	0
光是	1	9
被	1	1196
据普遍预测	1	0
有别于	1	2
那就是为什么	1	0
ｂｕｔ	1	0
是一个例子	1	0
就是一个例子	1	0
甚至于	1	0
联	1	780
已经过去	1	0
尤	1	58
个把钟头后	1	0
这说明	1	0
凡是	1	10
期间	1	116
以便能	1	0
任何	1	295
意指	1	1
在外交上	1	0
小	1	1425
具体地说	1	0
举例来说	1	0
这就是说	1	0
它们是	1	0
未	1	544
几星期后	1	0
审讯	1	9
等等	1	92
一九八九	1	3
声明说	1	0
前几天	1	3
目的在	1	0
以图	1	0
由于双	1	0
据统计	1	0
最	1	1619
注意到	1	0
对比	1	14
到最后	1	0
对此	1	29
而且我	1	0
此之	1	9
有利	1	69
是由于	1	0
如此一来	1	0
规定	1	136
归纳	1	5
过去１００多年	1	0
此乃	1	0
９月底	1	0
为什么呢	1	0
继	1	412
藉以	1	2
便是	1	0
表态	1	12
其他	1	308
这三方面	1	0
一八九九年	1	0
他认为	1	0
未来	1	180
他说	1	0
那一刻	1	0
甲午战后	1	0
却走了好长一段时间	1	0
发表声明说	1	0
声称	1	23
影响	1	261
吃完	1	6
以示	1	3
在此同时	1	0
实质上	1	4
早在一年前	1	0
尤其更	1	0
如果不	1	0
不关	1	2
无论是	1	4
而在	1	0
对照	1	5
纠其原因主要有	1	0
与其	1	4
好像	1	38
还好	1	8
三千万年前	1	0
张	1	537
必然	1	32
三年前	1	0
一年前	1	0
七十七	1	3
一	1	10963
等到	1	16
莫过于	1	3
最近	1	157
原有	1	18
不一会	1	0
无怪乎	1	3
一天之内	1	0
也可以	1	1
并不意味着	1	0
他	1	4787
甚	1	128
引述	1	5
要把	1	0
这是因为	1	0
这篇博客	1	0
或许	1	67
来看	1	39
仍	1	299
从	1	1316
这意味着	1	0
不如	1	26
更进一步	1	0
由此可以判断	1	0
美国	1	1301
原先	1	25
现年	1	12
利用	1	198
2006年11月9日	1	0
就象	1	0
非洲方面	1	0
也是如此	1	0
受到	1	165
则坚称	1	0
了	1	6562
通俗的说	1	0
菌	1	46
上诉书说	1	0
就想说	1	0
还是因为	1	0
例子是	1	0
相对地	1	0
为的是	1	0
根据通报	1	0
９个月前	1	0
拖到２００４年	1	0
公告说	1	0
足见	1	0
新	1	2390
分析认为	1	0
国	1	8652
总说一句	1	0
而不在	1	0
引来	1	5
部分是由于	1	0
传	1	534
正是	1	1
九十年代	1	8
事前	1	4
就算是	1	1
相对于	1	8
周一	1	12
这几乎是	1	0
相对之下	1	0
等例子	1	0
既	1	61
旧	1	153
将来	1	35
此时	1	15
其目的就是	1	0
得以	1	25
改革开放以来	1	0
５台	1	0
消	1	449
我的意思是	1	0
霎那间	1	1
通知要求	1	0
分别是	1	0
还会	1	0
那天	1	3
你为什么能够赚钱	1	0
或曰	1	0
归根结底	1	0
其因	1	0
害得	1	0
当中	1	107
得益于	1	0
后续	1	7
相比之下	1	1
另外也	1	0
剔除	1	0
据香港媒体的报道	1	0
去年二月	1	0
并且是	1	0
以及一	1	0
以至	1	8
根据统计	1	0
除外	1	3
例	1	218
二零零五年三月十六号	1	0
主要目的是	1	0
果然	1	8
伴随	1	5
成了	1	0
大	1	5262
跟	1	316
阐述	1	5
或者说	1	2
此刻	1	11
但却是	1	0
是在	1	0
但有	1	0
南昌大桥	1	0
拜	1	112
却不输于	1	0
但是我	1	0
起因	1	5
这包括	1	0
解释是	1	0
并在	1	0
越	1	496
但杨	1	0
减少	1	87
1618年	1	0
有鉴于此	1	0
正当	1	13
可能就是	1	0
查明	1	5
答案	1	25
之赐	1	0
先前	1	5
下面是	1	0
后面	1	33
结果导致	1	0
总体说来	1	0
在这之前	1	0
在另外一方面	1	0
这也是	1	0
我们	1	1868
然却	1	0
裁定	1	10
宗旨	1	11
即是	1	1
透露	1	55
出于	1	21
２００５年	1	16
估计	1	74
统称	1	3
仍旧	1	14
主要是	1	0
更大	1	4
２００７年	1	9
则分别是	1	0
促使	1	13
想象	1	34
不一会儿	1	0
总之没一句好话	1	0
中午	1	23
也许	1	69
不就是	1	0
这就是为什么	1	0
以上是	1	0
１２月１号	1	0
乃是	1	0
事情是这样的	1	0
随之	1	5
成年后	1	0
更别提	1	0
还有一说是	1	0
倒是	1	8
比目前	1	0
足证	1	0
迫使	1	7
可见	1	3
1520年	1	0
再加	1	1
第三	1	101
总是	1	51
以下	1	42
也正是	1	0
经常	1	82
以上	1	180
第一	1	470
例如说	1	0
由此可见	1	0
还指出	1	0
其原因	1	0
说的是	1	0
还要有	1	0
立前	1	0
和帮凶	1	0
若是	1	0
2004	1	15
报上是这么说的	1	0
2008	1	87
来自	1	163
会谈以后	1	0
也只是	1	0
归咎于	1	3
自此	1	0
过去半个世纪以来	1	0
这时候	1	7
用于	1	35
警告	1	46
到二十一世纪	1	0
再不然	1	1
小时候	1	14
对照之下	1	0
那是	1	0
迫于	1	0
然后次一层	1	0
明摆	1	1
再则	1	0
偏偏	1	5
主要原因是	1	0
也难怪	1	0
有迹象显示	1	0
招致	1	0
意即	1	0
多年后	1	0
据介绍	1	0
非但	1	2
终于	1	67
会后	1	1
或许因为	1	0
以东莞为例	1	0
指	1	782
原	1	666
也反映	1	0
１９５０年	1	5
七○年代	1	4
即使是	1	0
实际是	1	0
宣布后	1	0
就是一例	1	0
主要的原因	1	0
不久将	1	0
由此一来	1	0
方能	1	1
全都	1	4
过	1	2157
两年前	1	0
设备３５台	1	0
那个时候	1	3
近	1	812
目的就是	1	0
这都是	1	0
到后来	1	1
第二个	1	0
那么阿	1	0
一年	1	19
被迫	1	19
正值	1	1
最多	1	4
一项	1	0
继续	1	303
有关	1	298
案例	1	10
我认为	1	0
明白	1	47
叶	1	214
所以说	1	1
为主题	1	0
其原因主要有三	1	0
八十年代	1	15
起因据说是	1	0
宋	1	117
二十年前	1	0
早些时候	1	11
一是	1	1
它	1	827
今天下午	1	0
透露说	1	0
这个人是	1	0
不啻	1	0
早上	1	41
欠佳	1	1
在这前提下	1	0
在同一天	1	0
几分钟之后	1	0
是为	1	0
获益	1	1
几十年前	1	0
有的	1	54
科	1	818
然	1	1199
看法是	1	0
尽管我	1	0
势必	1	11
不久	1	38
华	1	936
一晃	1	0
同年	1	0
也明	1	0
但是他	1	0
迄今为止	1	4
就在同一年	1	0
也由	1	0
对	1	3586
南太平洋地区	1	0
灾难过后	1	0
显然	1	92
一九九	1	139
反映	1	49
亦或是	1	1
反倒	1	8
特别重要	1	0
自然	1	155
也就	1	11
另外一个	1	0
并非	1	8
立后	1	0
有赖于	1	2
接下来是	1	0
反之	1	3
总结	1	13
再来	1	5
昔日	1	8
声明	1	80
第三个	1	0
设法防止	1	0
再有	1	0
早年	1	21
内容包括	1	0
２００４年	1	14
加之	1	2
这便是	1	0
二零零五年年四月一号	1	0
进一步	1	138
往年	1	3
演出前	1	0
应该坚决关闭	1	0
另外还有	1	0
可惜的是	1	0
竟然还	1	0
所以他	1	0
可别	1	0
举例的	1	0
目的在于	1	0
实例	1	0
下一步	1	3
去年八月	1	0
多亏	1	1
一九九五	1	21
基于	1	30
6年多前	1	0
指的是	1	0
是指	1	0
可惜	1	14
更加	1	72
另一项	1	0
除此	1	3
就因为	1	0
十岁时	1	0
同日	1	4
这表明	1	0
更不用提	1	0
２０００年	1	23
隔断	1	1
即便是	1	0
